"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-P6-A5OF-01A-11R-A29S-07","TCGA-P6-A5OF",NA
"2","TCGA-PA-A5YG-01A-11R-A29S-07","TCGA-PA-A5YG",NA
"3","TCGA-OR-A5JY-01A-31R-A29S-07","TCGA-OR-A5JY",NA
"4","TCGA-OR-A5JF-01A-11R-A29S-07","TCGA-OR-A5JF",NA
"5","TCGA-OR-A5LO-01A-11R-A29S-07","TCGA-OR-A5LO",NA
"6","TCGA-OR-A5K4-01A-11R-A29S-07","TCGA-OR-A5K4",NA
"7","TCGA-P6-A5OG-01A-22R-A29S-07","TCGA-P6-A5OG",NA
"8","TCGA-OR-A5L5-01A-11R-A29S-07","TCGA-OR-A5L5",NA
"9","TCGA-OR-A5K1-01A-11R-A29S-07","TCGA-OR-A5K1",NA
"10","TCGA-OR-A5K6-01A-11R-A29S-07","TCGA-OR-A5K6",NA
"11","TCGA-OR-A5J8-01A-11R-A29S-07","TCGA-OR-A5J8",NA
"12","TCGA-OR-A5JG-01A-11R-A29S-07","TCGA-OR-A5JG",NA
"13","TCGA-OR-A5KT-01A-11R-A29S-07","TCGA-OR-A5KT",NA
"14","TCGA-OR-A5LJ-01A-11R-A29S-07","TCGA-OR-A5LJ",NA
"15","TCGA-OR-A5LS-01A-11R-A29S-07","TCGA-OR-A5LS",NA
"16","TCGA-OR-A5LN-01A-11R-A29S-07","TCGA-OR-A5LN",NA
"17","TCGA-OR-A5JO-01A-11R-A29S-07","TCGA-OR-A5JO",NA
"18","TCGA-OR-A5JR-01A-11R-A29S-07","TCGA-OR-A5JR",NA
"19","TCGA-OR-A5JM-01A-11R-A29S-07","TCGA-OR-A5JM",NA
"20","TCGA-OR-A5JV-01A-11R-A29S-07","TCGA-OR-A5JV",NA
"21","TCGA-OR-A5JZ-01A-11R-A29S-07","TCGA-OR-A5JZ",NA
"22","TCGA-OR-A5JK-01A-11R-A29S-07","TCGA-OR-A5JK",NA
"23","TCGA-OR-A5LC-01A-11R-A29S-07","TCGA-OR-A5LC",NA
"24","TCGA-OR-A5L4-01A-11R-A29S-07","TCGA-OR-A5L4",NA
"25","TCGA-OR-A5KO-01A-11R-A29S-07","TCGA-OR-A5KO",NA
"26","TCGA-OR-A5LE-01A-11R-A29S-07","TCGA-OR-A5LE",NA
"27","TCGA-OR-A5K5-01A-11R-A29S-07","TCGA-OR-A5K5",NA
"28","TCGA-OR-A5K9-01A-11R-A29S-07","TCGA-OR-A5K9",NA
"29","TCGA-OR-A5J2-01A-11R-A29S-07","TCGA-OR-A5J2",NA
"30","TCGA-OR-A5KW-01A-11R-A29S-07","TCGA-OR-A5KW",NA
"31","TCGA-OR-A5KU-01A-11R-A29S-07","TCGA-OR-A5KU",NA
"32","TCGA-OR-A5J1-01A-11R-A29S-07","TCGA-OR-A5J1",NA
"33","TCGA-OR-A5L3-01A-11R-A29S-07","TCGA-OR-A5L3",NA
"34","TCGA-OR-A5LD-01A-11R-A29S-07","TCGA-OR-A5LD",NA
"35","TCGA-PK-A5HB-01A-11R-A29S-07","TCGA-PK-A5HB",NA
"36","TCGA-OR-A5KX-01A-11R-A29S-07","TCGA-OR-A5KX",NA
"37","TCGA-OR-A5JS-01A-11R-A29S-07","TCGA-OR-A5JS",NA
"38","TCGA-OR-A5K2-01A-11R-A29S-07","TCGA-OR-A5K2",NA
"39","TCGA-OR-A5L8-01A-11R-A29S-07","TCGA-OR-A5L8",NA
"40","TCGA-OR-A5J7-01A-11R-A29S-07","TCGA-OR-A5J7",NA
