"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-VS-A950-01A-11R-A42T-07","TCGA-VS-A950",NA
"2","TCGA-HM-A6W2-01A-21R-A33Z-07","TCGA-HM-A6W2",NA
"3","TCGA-PN-A8MA-01A-11R-A36F-07","TCGA-PN-A8MA",NA
"4","TCGA-DG-A2KH-01A-21R-A22U-07","TCGA-DG-A2KH",NA
"5","TCGA-ZJ-AAXB-01A-11R-A42T-07","TCGA-ZJ-AAXB",NA
"6","TCGA-Q1-A73Q-01A-21R-A32P-07","TCGA-Q1-A73Q",NA
"7","TCGA-EK-A2H1-01A-11R-A180-07","TCGA-EK-A2H1",NA
"8","TCGA-IR-A3LI-01A-11R-A32Y-07","TCGA-IR-A3LI",NA
"9","TCGA-EA-A44S-01A-12R-A26T-07","TCGA-EA-A44S",NA
"10","TCGA-ZJ-AAX4-01A-11R-A42T-07","TCGA-ZJ-AAX4",NA
"11","TCGA-EA-A97N-01A-11R-A38B-07","TCGA-EA-A97N",NA
"12","TCGA-C5-A2LX-01A-11R-A18M-07","TCGA-C5-A2LX",NA
"13","TCGA-C5-A7CH-01A-11R-A33Z-07","TCGA-C5-A7CH",NA
"14","TCGA-EA-A1QT-01A-11R-A14Y-07","TCGA-EA-A1QT",NA
"15","TCGA-EA-A3HR-01A-11R-A213-07","TCGA-EA-A3HR",NA
"16","TCGA-VS-A9UZ-01A-11R-A42T-07","TCGA-VS-A9UZ",NA
"17","TCGA-EA-A3HU-01A-11R-A213-07","TCGA-EA-A3HU",NA
"18","TCGA-C5-A2LY-01A-31R-A18M-07","TCGA-C5-A2LY",NA
"19","TCGA-C5-A1M9-01A-11R-A13Y-07","TCGA-C5-A1M9",NA
"20","TCGA-ZJ-AAXA-01A-11R-A42T-07","TCGA-ZJ-AAXA",NA
"21","TCGA-EK-A2IP-01A-11R-A180-07","TCGA-EK-A2IP",NA
"22","TCGA-DG-A2KK-01A-11R-A180-07","TCGA-DG-A2KK",NA
"23","TCGA-C5-A7CK-01A-11R-A32P-07","TCGA-C5-A7CK",NA
"24","TCGA-C5-A2M2-01A-21R-A18M-07","TCGA-C5-A2M2",NA
"25","TCGA-ZJ-AAXU-01A-11R-A42T-07","TCGA-ZJ-AAXU",NA
"26","TCGA-C5-A1MI-01A-11R-A14Y-07","TCGA-C5-A1MI",NA
"27","TCGA-VS-A9UJ-01A-11R-A42T-07","TCGA-VS-A9UJ",NA
"28","TCGA-EK-A2H0-01A-11R-A180-07","TCGA-EK-A2H0",NA
"29","TCGA-MU-A51Y-01A-11R-A26T-07","TCGA-MU-A51Y",NA
"30","TCGA-C5-A1BK-01B-11R-A13Y-07","TCGA-C5-A1BK",NA
"31","TCGA-ZJ-AB0I-01A-11R-A42T-07","TCGA-ZJ-AB0I",NA
"32","TCGA-JX-A5QV-01A-22R-A28H-07","TCGA-JX-A5QV",NA
"33","TCGA-C5-A1BL-01A-11R-A13Y-07","TCGA-C5-A1BL",NA
"34","TCGA-EK-A2RK-01A-11R-A18M-07","TCGA-EK-A2RK",NA
"35","TCGA-C5-A1MP-01A-11R-A14Y-07","TCGA-C5-A1MP",NA
"36","TCGA-DG-A2KM-01A-11R-A180-07","TCGA-DG-A2KM",NA
"37","TCGA-UC-A7PI-01A-11R-A42S-07","TCGA-UC-A7PI",NA
"38","TCGA-MA-AA41-01A-11R-A38B-07","TCGA-MA-AA41",NA
"39","TCGA-C5-A1M7-01A-11R-A13Y-07","TCGA-C5-A1M7",NA
"40","TCGA-VS-A9UY-01A-11R-A42T-07","TCGA-VS-A9UY",NA
"41","TCGA-Q1-A73P-01A-11R-A32P-07","TCGA-Q1-A73P",NA
"42","TCGA-EA-A50E-01A-21R-A26T-07","TCGA-EA-A50E",NA
"43","TCGA-VS-A953-01A-11R-A38B-07","TCGA-VS-A953",NA
"44","TCGA-C5-A1BE-01B-11R-A13Y-07","TCGA-C5-A1BE",NA
"45","TCGA-MA-AA43-01A-11R-A42T-07","TCGA-MA-AA43",NA
"46","TCGA-C5-A1MF-01A-11R-A13Y-07","TCGA-C5-A1MF",NA
"47","TCGA-VS-A9U5-01A-11R-A42T-07","TCGA-VS-A9U5",NA
