"","TCGA_barcode","TCGA_submitterID","Match_id"
"9","TCGA-BK-A139-01A-11R-A277-07","TCGA-BK-A139",1
"342","TCGA-BK-A139-01A-11R-A118-07","TCGA-BK-A139",1
"366","TCGA-BK-A139-01C-08R-A277-07","TCGA-BK-A139",1
"39","TCGA-BK-A26L-01A-11R-A16F-07","TCGA-BK-A26L",2
"474","TCGA-BK-A26L-01A-11R-A277-07","TCGA-BK-A26L",2
"500","TCGA-BK-A26L-01C-04R-A277-07","TCGA-BK-A26L",2
"165","TCGA-BK-A0CA-01B-02R-A277-07","TCGA-BK-A0CA",3
"269","TCGA-BK-A0CA-01A-21R-A118-07","TCGA-BK-A0CA",3
"431","TCGA-BK-A0CA-01A-21R-A277-07","TCGA-BK-A0CA",3
"244","TCGA-BK-A0CC-01A-21R-A277-07","TCGA-BK-A0CC",4
"290","TCGA-BK-A0CC-01A-21R-A16W-07","TCGA-BK-A0CC",4
"333","TCGA-BK-A0CC-01B-04R-A277-07","TCGA-BK-A0CC",4
"1","TCGA-EO-A1Y8-01A-11R-A157-07","TCGA-EO-A1Y8",NA
"2","TCGA-B5-A1MU-01A-11R-A13S-07","TCGA-B5-A1MU",NA
"3","TCGA-AX-A2IO-01A-11R-A180-07","TCGA-AX-A2IO",NA
"4","TCGA-BS-A0UT-01A-11R-A104-07","TCGA-BS-A0UT",NA
"5","TCGA-EY-A215-01A-11R-A14M-07","TCGA-EY-A215",NA
"6","TCGA-BS-A0U5-01A-11R-A109-07","TCGA-BS-A0U5",NA
"7","TCGA-5B-A90C-01A-11R-A37O-07","TCGA-5B-A90C",NA
"8","TCGA-EC-A24G-01A-11R-A16F-07","TCGA-EC-A24G",NA
"10","TCGA-A5-A2K5-01A-11R-A180-07","TCGA-A5-A2K5",NA
"11","TCGA-FI-A2EX-01A-11R-A17B-07","TCGA-FI-A2EX",NA
"12","TCGA-BS-A0TI-01A-11R-A104-07","TCGA-BS-A0TI",NA
"13","TCGA-AP-A0LG-01A-11R-A16W-07","TCGA-AP-A0LG",NA
"14","TCGA-AX-A3FS-01A-11R-A22K-07","TCGA-AX-A3FS",NA
"15","TCGA-AX-A3FZ-01A-11R-A22K-07","TCGA-AX-A3FZ",NA
"16","TCGA-JU-AAVI-01A-11R-A40A-07","TCGA-JU-AAVI",NA
"17","TCGA-D1-A16D-01A-11R-A12I-07","TCGA-D1-A16D",NA
"18","TCGA-DI-A2QT-01A-12R-A19W-07","TCGA-DI-A2QT",NA
"19","TCGA-DI-A1BU-01A-11R-A137-07","TCGA-DI-A1BU",NA
"20","TCGA-AJ-A3EL-01A-11R-A213-07","TCGA-AJ-A3EL",NA
"21","TCGA-B5-A0JX-01A-21R-A14M-07","TCGA-B5-A0JX",NA
"22","TCGA-KJ-A3U4-01A-11R-A22K-07","TCGA-KJ-A3U4",NA
"23","TCGA-B5-A11Z-01A-11R-A10J-07","TCGA-B5-A11Z",NA
"24","TCGA-BG-A0W2-01A-11R-A109-07","TCGA-BG-A0W2",NA
"25","TCGA-AX-A3FT-01A-11R-A22K-07","TCGA-AX-A3FT",NA
"26","TCGA-4E-A92E-01A-11R-A37O-07","TCGA-4E-A92E",NA
"27","TCGA-AX-A0IW-01A-11R-A040-07","TCGA-AX-A0IW",NA
"28","TCGA-EY-A1G8-01A-11R-A13S-07","TCGA-EY-A1G8",NA
"29","TCGA-BS-A0T9-01A-11R-A12I-07","TCGA-BS-A0T9",NA
"30","TCGA-FI-A2D6-01A-11R-A17B-07","TCGA-FI-A2D6",NA
"31","TCGA-BG-A0MO-01A-11R-A040-07","TCGA-BG-A0MO",NA
"32","TCGA-B5-A11P-01B-11R-A14D-07","TCGA-B5-A11P",NA
"33","TCGA-EY-A1GF-01A-11R-A13S-07","TCGA-EY-A1GF",NA
"34","TCGA-B5-A5OC-01A-21R-A27V-07","TCGA-B5-A5OC",NA
"35","TCGA-AX-A2HD-01A-21R-A17B-07","TCGA-AX-A2HD",NA
"36","TCGA-D1-A15V-01A-11R-A118-07","TCGA-D1-A15V",NA
"37","TCGA-B5-A0JS-01A-11R-A104-07","TCGA-B5-A0JS",NA
"38","TCGA-BG-A18B-01A-11R-A12I-07","TCGA-BG-A18B",NA
"40","TCGA-D1-A168-01A-31R-A12I-07","TCGA-D1-A168",NA
"41","TCGA-A5-A2K7-01A-11R-A180-07","TCGA-A5-A2K7",NA
"42","TCGA-BG-A0M9-01A-21R-A104-07","TCGA-BG-A0M9",NA
"43","TCGA-BG-A0MK-01A-51R-A19W-07","TCGA-BG-A0MK",NA
"44","TCGA-AJ-A2QO-01A-11R-A32Y-07","TCGA-AJ-A2QO",NA
"45","TCGA-B5-A0K7-01A-11R-A104-07","TCGA-B5-A0K7",NA
"46","TCGA-D1-A177-01A-21R-A12I-07","TCGA-D1-A177",NA
"47","TCGA-B5-A0JU-01B-11R-A14D-07","TCGA-B5-A0JU",NA
"48","TCGA-B5-A3S1-01A-11R-A22K-07","TCGA-B5-A3S1",NA
"49","TCGA-D1-A2G6-01A-11R-A17B-07","TCGA-D1-A2G6",NA
"50","TCGA-D1-A0ZS-01A-11R-A118-07","TCGA-D1-A0ZS",NA
"51","TCGA-BG-A0YU-01A-21R-A10J-07","TCGA-BG-A0YU",NA
"52","TCGA-AJ-A23N-01A-11R-A22K-07","TCGA-AJ-A23N",NA
"53","TCGA-BG-A2AD-01A-21R-A16F-07","TCGA-BG-A2AD",NA
"54","TCGA-D1-A167-01A-11R-A12I-07","TCGA-D1-A167",NA
