"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-BT-A20Q-11A-11R-A14Y-07","TCGA-BT-A20Q",NA
"2","TCGA-K4-A54R-11A-11R-A26T-07","TCGA-K4-A54R",NA
"3","TCGA-BT-A20W-11A-11R-A14Y-07","TCGA-BT-A20W",NA
"4","TCGA-CU-A0YR-11A-13R-A10U-07","TCGA-CU-A0YR",NA
"5","TCGA-GD-A2C5-11A-11R-A180-07","TCGA-GD-A2C5",NA
"6","TCGA-GD-A3OQ-11A-21R-A220-07","TCGA-GD-A3OQ",NA
"7","TCGA-GC-A3WC-11A-11R-A22U-07","TCGA-GC-A3WC",NA
"8","TCGA-CU-A0YN-11A-11R-A10U-07","TCGA-CU-A0YN",NA
"9","TCGA-GC-A3BM-11A-11R-A22U-07","TCGA-GC-A3BM",NA
"10","TCGA-BT-A20R-11A-11R-A16R-07","TCGA-BT-A20R",NA
"11","TCGA-BT-A20U-11A-11R-A14Y-07","TCGA-BT-A20U",NA
"12","TCGA-K4-A5RI-11A-11R-A28M-07","TCGA-K4-A5RI",NA
"13","TCGA-K4-A3WV-11A-21R-A22U-07","TCGA-K4-A3WV",NA
"14","TCGA-GC-A6I3-11A-11R-A31N-07","TCGA-GC-A6I3",NA
"15","TCGA-BT-A2LB-11A-11R-A18C-07","TCGA-BT-A2LB",NA
"16","TCGA-BT-A20N-11A-11R-A14Y-07","TCGA-BT-A20N",NA
"17","TCGA-GD-A3OP-11A-11R-A220-07","TCGA-GD-A3OP",NA
"18","TCGA-BT-A2LA-11A-11R-A18C-07","TCGA-BT-A2LA",NA
"19","TCGA-BL-A13J-11A-13R-A10U-07","TCGA-BL-A13J",NA
