"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-QR-A70Q-01A-13R-A35K-07","TCGA-QR-A70Q",NA
"2","TCGA-RW-A68B-01A-11R-A35K-07","TCGA-RW-A68B",NA
"3","TCGA-QR-A6ZZ-01A-11R-A35K-07","TCGA-QR-A6ZZ",NA
"4","TCGA-WB-A80O-01A-11R-A35L-07","TCGA-WB-A80O",NA
"5","TCGA-WB-A81T-01A-11R-A35L-07","TCGA-WB-A81T",NA
"6","TCGA-SR-A6MV-01A-11R-A35L-07","TCGA-SR-A6MV",NA
"7","TCGA-QR-A70K-01A-12R-A35K-07","TCGA-QR-A70K",NA
"8","TCGA-QR-A70I-01A-11R-A35K-07","TCGA-QR-A70I",NA
"9","TCGA-QT-A5XJ-01A-11R-A35K-07","TCGA-QT-A5XJ",NA
"10","TCGA-WB-A822-01A-11R-A35L-07","TCGA-WB-A822",NA
"11","TCGA-SR-A6MU-01A-11R-A35L-07","TCGA-SR-A6MU",NA
"12","TCGA-SR-A6MX-01A-11R-A35L-07","TCGA-SR-A6MX",NA
"13","TCGA-QT-A5XO-01A-11R-A35K-07","TCGA-QT-A5XO",NA
"14","TCGA-QR-A708-01A-11R-A35K-07","TCGA-QR-A708",NA
"15","TCGA-W2-A7HF-01A-11R-A35L-07","TCGA-W2-A7HF",NA
"16","TCGA-RW-A689-01A-11R-A35K-07","TCGA-RW-A689",NA
"17","TCGA-WB-A81M-01A-11R-A35L-07","TCGA-WB-A81M",NA
"18","TCGA-P8-A5KD-01A-11R-A35K-07","TCGA-P8-A5KD",NA
"19","TCGA-WB-A81R-01A-11R-A35L-07","TCGA-WB-A81R",NA
"20","TCGA-W2-A7H5-01B-11R-A35L-07","TCGA-W2-A7H5",NA
"21","TCGA-WB-A81H-01A-11R-A35L-07","TCGA-WB-A81H",NA
"22","TCGA-TT-A6YJ-01A-11R-A35L-07","TCGA-TT-A6YJ",NA
"23","TCGA-S7-A7X1-01A-11R-A35L-07","TCGA-S7-A7X1",NA
"24","TCGA-WB-A819-01A-11R-A35L-07","TCGA-WB-A819",NA
"25","TCGA-S7-A7WX-01A-11R-A35L-07","TCGA-S7-A7WX",NA
"26","TCGA-WB-A81D-01A-11R-A35L-07","TCGA-WB-A81D",NA
"27","TCGA-QR-A70C-01A-21R-A35K-07","TCGA-QR-A70C",NA
"28","TCGA-QR-A707-01A-11R-A35K-07","TCGA-QR-A707",NA
"29","TCGA-S7-A7X2-01A-12R-A35L-07","TCGA-S7-A7X2",NA
"30","TCGA-SR-A6MQ-01A-11R-A35L-07","TCGA-SR-A6MQ",NA
"31","TCGA-SR-A6MZ-01A-11R-A35L-07","TCGA-SR-A6MZ",NA
"32","TCGA-QR-A6GS-01A-11R-A35K-07","TCGA-QR-A6GS",NA
"33","TCGA-S7-A7WQ-01A-12R-A35L-07","TCGA-S7-A7WQ",NA
"34","TCGA-QT-A5XM-01A-11R-A35K-07","TCGA-QT-A5XM",NA
"35","TCGA-WB-A81E-01A-11R-A35L-07","TCGA-WB-A81E",NA
"36","TCGA-WB-A818-01A-11R-A35L-07","TCGA-WB-A818",NA
"37","TCGA-XG-A823-01A-11R-A35L-07","TCGA-XG-A823",NA
"38","TCGA-QR-A6GT-01A-11R-A35K-07","TCGA-QR-A6GT",NA
"39","TCGA-S7-A7WW-01A-11R-A35L-07","TCGA-S7-A7WW",NA
"40","TCGA-PR-A5PG-01A-11R-A35K-07","TCGA-PR-A5PG",NA
"41","TCGA-RW-A680-01A-11R-A35K-07","TCGA-RW-A680",NA
"42","TCGA-SP-A6QK-01A-11R-A35L-07","TCGA-SP-A6QK",NA
"43","TCGA-WB-A816-01A-11R-A35L-07","TCGA-WB-A816",NA
"44","TCGA-RW-A68A-01A-11R-A35K-07","TCGA-RW-A68A",NA
"45","TCGA-QR-A70W-01A-12R-A35K-07","TCGA-QR-A70W",NA
"46","TCGA-S7-A7WP-01A-11R-A35L-07","TCGA-S7-A7WP",NA
"47","TCGA-RW-A7CZ-01A-11R-A35K-07","TCGA-RW-A7CZ",NA
"48","TCGA-P8-A5KC-01A-11R-A35K-07","TCGA-P8-A5KC",NA
"49","TCGA-WB-A80P-01A-11R-A35L-07","TCGA-WB-A80P",NA
"50","TCGA-QT-A7U0-01A-11R-A35K-07","TCGA-QT-A7U0",NA
"51","TCGA-SP-A6QI-01A-12R-A35L-07","TCGA-SP-A6QI",NA
"52","TCGA-S7-A7WR-01A-11R-A35L-07","TCGA-S7-A7WR",NA
"53","TCGA-QR-A702-01A-11R-A35K-07","TCGA-QR-A702",NA
"54","TCGA-RW-A68C-01A-11R-A35K-07","TCGA-RW-A68C",NA
"55","TCGA-WB-A80K-01A-11R-A35L-07","TCGA-WB-A80K",NA
"56","TCGA-SR-A6N0-01A-11R-A35L-07","TCGA-SR-A6N0",NA
"57","TCGA-QR-A70O-01A-11R-A35K-07","TCGA-QR-A70O",NA
"58","TCGA-QR-A6H2-01A-11R-A35K-07","TCGA-QR-A6H2",NA
"59","TCGA-WB-A80V-01A-12R-A35L-07","TCGA-WB-A80V",NA
"60","TCGA-QT-A5XL-01A-11R-A35K-07","TCGA-QT-A5XL",NA
"61","TCGA-WB-A814-01A-11R-A35L-07","TCGA-WB-A814",NA
"62","TCGA-QR-A700-01A-11R-A35K-07","TCGA-QR-A700",NA
"63","TCGA-PR-A5PF-01A-11R-A35K-07","TCGA-PR-A5PF",NA
"64","TCGA-QR-A70H-01A-12R-A35K-07","TCGA-QR-A70H",NA
"65","TCGA-QR-A705-01A-11R-A35K-07","TCGA-QR-A705",NA
"66","TCGA-SQ-A6I4-01A-11R-A35L-07","TCGA-SQ-A6I4",NA
"67","TCGA-WB-A80Y-01A-11R-A35L-07","TCGA-WB-A80Y",NA
"68","TCGA-SP-A6QC-01A-11R-A35L-07","TCGA-SP-A6QC",NA
"69","TCGA-QT-A5XK-01A-11R-A35K-07","TCGA-QT-A5XK",NA
"70","TCGA-QR-A70J-01A-11R-A35K-07","TCGA-QR-A70J",NA
"71","TCGA-SP-A6QG-01A-12R-A35L-07","TCGA-SP-A6QG",NA
"72","TCGA-P8-A6RX-01A-11R-A35K-07","TCGA-P8-A6RX",NA
"73","TCGA-QT-A5XP-01A-11R-A35K-07","TCGA-QT-A5XP",NA
"74","TCGA-TT-A6YO-01A-11R-A35L-07","TCGA-TT-A6YO",NA
"75","TCGA-QR-A70A-01A-11R-A35K-07","TCGA-QR-A70A",NA
"76","TCGA-S7-A7WU-01A-11R-A35L-07","TCGA-S7-A7WU",NA
"77","TCGA-W2-A7HA-01B-11R-A35L-07","TCGA-W2-A7HA",NA
"78","TCGA-W2-A7HH-01A-11R-A35L-07","TCGA-W2-A7HH",NA
"79","TCGA-RW-A688-01A-11R-A35K-07","TCGA-RW-A688",NA
"80","TCGA-RW-A681-01A-11R-A35K-07","TCGA-RW-A681",NA
"81","TCGA-RT-A6Y9-01A-12R-A35K-07","TCGA-RT-A6Y9",NA
"82","TCGA-WB-A817-01A-11R-A35L-07","TCGA-WB-A817",NA
"83","TCGA-TT-A6YK-01A-11R-A35L-07","TCGA-TT-A6YK",NA
"84","TCGA-QR-A70X-01A-11R-A35K-07","TCGA-QR-A70X",NA
"85","TCGA-WB-A81W-01A-11R-A35L-07","TCGA-WB-A81W",NA
"86","TCGA-P7-A5NX-01A-11R-A35K-07","TCGA-P7-A5NX",NA
"87","TCGA-SP-A6QJ-01A-11R-A35L-07","TCGA-SP-A6QJ",NA
"88","TCGA-WB-A81K-01A-11R-A35L-07","TCGA-WB-A81K",NA
"89","TCGA-P7-A5NY-01A-12R-A35K-07","TCGA-P7-A5NY",NA
"90","TCGA-W2-A7HC-01A-11R-A35L-07","TCGA-W2-A7HC",NA
"91","TCGA-QR-A7IN-01A-11R-A35K-07","TCGA-QR-A7IN",NA
"92","TCGA-QR-A70E-01A-11R-A35K-07","TCGA-QR-A70E",NA
"93","TCGA-WB-A81P-01A-11R-A35L-07","TCGA-WB-A81P",NA
"94","TCGA-QR-A703-01A-11R-A35K-07","TCGA-QR-A703",NA
"95","TCGA-WB-A80Q-01A-11R-A35L-07","TCGA-WB-A80Q",NA
"96","TCGA-S7-A7WM-01A-12R-A35L-07","TCGA-S7-A7WM",NA
"97","TCGA-QR-A6H1-01A-11R-A35K-07","TCGA-QR-A6H1",NA
"98","TCGA-RX-A8JQ-01A-11R-A35L-07","TCGA-RX-A8JQ",NA
"99","TCGA-WB-A81Q-01A-11R-A35L-07","TCGA-WB-A81Q",NA
"100","TCGA-W2-A7HE-01A-11R-A35L-07","TCGA-W2-A7HE",NA
"101","TCGA-SP-A6QD-01A-12R-A35L-07","TCGA-SP-A6QD",NA
"102","TCGA-QR-A6H0-01A-11R-A35K-07","TCGA-QR-A6H0",NA
"103","TCGA-WB-A81V-01A-11R-A35L-07","TCGA-WB-A81V",NA
"104","TCGA-QT-A69Q-01A-11R-A35K-07","TCGA-QT-A69Q",NA
"105","TCGA-QR-A70V-01A-11R-A35K-07","TCGA-QR-A70V",NA
"106","TCGA-QR-A6GU-01A-11R-A35K-07","TCGA-QR-A6GU",NA
"107","TCGA-QT-A5XN-01A-11R-A35K-07","TCGA-QT-A5XN",NA
"108","TCGA-RM-A68T-01A-11R-A35K-07","TCGA-RM-A68T",NA
"109","TCGA-W2-A7H7-01A-11R-A35L-07","TCGA-W2-A7H7",NA
"110","TCGA-WB-A81F-01A-11R-A35L-07","TCGA-WB-A81F",NA
"111","TCGA-QR-A6H6-01A-11R-A35K-07","TCGA-QR-A6H6",NA
"112","TCGA-QR-A70T-01A-11R-A35K-07","TCGA-QR-A70T",NA
