"","TCGA_barcode","TCGA_submitterID","Match_id"
"8","TCGA-B2-3924-01B-03R-A277-07","TCGA-B2-3924",1
"33","TCGA-B2-3924-01A-02R-A277-07","TCGA-B2-3924",1
"445","TCGA-B2-3924-01A-02R-1325-07","TCGA-B2-3924",1
"19","TCGA-B2-5633-01A-01R-1541-07","TCGA-B2-5633",2
"106","TCGA-B2-5633-01A-01R-A277-07","TCGA-B2-5633",2
"172","TCGA-B2-5633-01B-04R-A277-07","TCGA-B2-5633",2
"25","TCGA-B2-5635-01B-04R-A277-07","TCGA-B2-5635",3
"187","TCGA-B2-5635-01A-01R-1541-07","TCGA-B2-5635",3
"372","TCGA-B2-5635-01A-01R-A277-07","TCGA-B2-5635",3
"100","TCGA-B2-3923-01A-02R-A277-07","TCGA-B2-3923",5
"215","TCGA-B2-3923-01A-02R-1325-07","TCGA-B2-3923",5
"470","TCGA-B2-3923-01B-10R-A277-07","TCGA-B2-3923",5
"1","TCGA-A3-3382-01A-02R-1325-07","TCGA-A3-3382",NA
"2","TCGA-B0-5120-01A-01R-1420-07","TCGA-B0-5120",NA
"3","TCGA-B0-5119-01A-02R-1420-07","TCGA-B0-5119",NA
"4","TCGA-B4-5834-01A-11R-1672-07","TCGA-B4-5834",NA
"5","TCGA-BP-4763-01A-01R-1289-07","TCGA-BP-4763",NA
"6","TCGA-A3-3324-01A-02R-1325-07","TCGA-A3-3324",NA
"7","TCGA-CJ-5675-01A-11R-1541-07","TCGA-CJ-5675",NA
"9","TCGA-BP-4977-01A-01R-1334-07","TCGA-BP-4977",NA
"10","TCGA-CZ-5451-01A-01R-1503-07","TCGA-CZ-5451",NA
"11","TCGA-CZ-4856-01A-02R-1426-07","TCGA-CZ-4856",NA
"12","TCGA-BP-5196-01A-01R-1426-07","TCGA-BP-5196",NA
"13","TCGA-B0-5116-01A-02R-1420-07","TCGA-B0-5116",NA
"14","TCGA-BP-4340-01A-01R-1289-07","TCGA-BP-4340",NA
"15","TCGA-B2-A4SR-01A-11R-A266-07","TCGA-B2-A4SR",NA
"16","TCGA-CJ-4870-01A-01R-1305-07","TCGA-CJ-4870",NA
"17","TCGA-BP-4354-01A-02R-1289-07","TCGA-BP-4354",NA
"18","TCGA-AK-3445-01A-02R-1277-07","TCGA-AK-3445",NA
"20","TCGA-B0-4700-01A-02R-1541-07","TCGA-B0-4700",NA
"21","TCGA-A3-A8CQ-01A-11R-A37O-07","TCGA-A3-A8CQ",NA
"22","TCGA-AK-3433-01A-02R-1277-07","TCGA-AK-3433",NA
"23","TCGA-BP-4989-01A-01R-1334-07","TCGA-BP-4989",NA
"24","TCGA-MM-A563-01A-11R-A266-07","TCGA-MM-A563",NA
