"","TCGA_barcode","TCGA_submitterID","Match_id"
"6","TCGA-A6-6780-01A-11R-1839-07","TCGA-A6-6780",1
"69","TCGA-A6-6780-01B-04R-A277-07","TCGA-A6-6780",1
"341","TCGA-A6-6780-01A-11R-A278-07","TCGA-A6-6780",1
"21","TCGA-A6-2674-01B-04R-A277-07","TCGA-A6-2674",2
"22","TCGA-A6-2674-01A-02R-0821-07","TCGA-A6-2674",2
"54","TCGA-A6-2674-01A-02R-A278-07","TCGA-A6-2674",2
"25","TCGA-A6-2677-01B-02R-A277-07","TCGA-A6-2677",4
"48","TCGA-A6-2677-01A-01R-0821-07","TCGA-A6-2677",4
"41","TCGA-A6-3810-01A-01R-A278-07","TCGA-A6-3810",5
"125","TCGA-A6-3810-01A-01R-1022-07","TCGA-A6-3810",5
"293","TCGA-A6-3810-01B-04R-A277-07","TCGA-A6-3810",5
"55","TCGA-A6-5665-01B-03R-2302-07","TCGA-A6-5665",8
"202","TCGA-A6-5665-01A-01R-1653-07","TCGA-A6-5665",8
"78","TCGA-A6-2672-01A-01R-0826-07","TCGA-A6-2672",10
"201","TCGA-A6-2672-01B-03R-2302-07","TCGA-A6-2672",10
"102","TCGA-A6-3809-01A-01R-A278-07","TCGA-A6-3809",11
"194","TCGA-A6-3809-01B-04R-A277-07","TCGA-A6-3809",11
"470","TCGA-A6-3809-01A-01R-1022-07","TCGA-A6-3809",11
"162","TCGA-A6-2684-01A-01R-1410-07","TCGA-A6-2684",13
"309","TCGA-A6-2684-01C-08R-A277-07","TCGA-A6-2684",13
"447","TCGA-A6-2684-01A-01R-A278-07","TCGA-A6-2684",13
"166","TCGA-A6-5661-01B-05R-2302-07","TCGA-A6-5661",14
"398","TCGA-A6-5661-01A-01R-1653-07","TCGA-A6-5661",14
"172","TCGA-A6-6650-01A-11R-1774-07","TCGA-A6-6650",15
"336","TCGA-A6-6650-01A-11R-A278-07","TCGA-A6-6650",15
"471","TCGA-A6-6650-01B-02R-A277-07","TCGA-A6-6650",15
"182","TCGA-A6-5656-01A-21R-1839-07","TCGA-A6-5656",16
"270","TCGA-A6-5656-01B-02R-A277-07","TCGA-A6-5656",16
"413","TCGA-A6-5656-01A-21R-A278-07","TCGA-A6-5656",16
"195","TCGA-A6-6781-01A-22R-1928-07","TCGA-A6-6781",18
"196","TCGA-A6-6781-01A-22R-A278-07","TCGA-A6-6781",18
"375","TCGA-A6-6781-01B-06R-A277-07","TCGA-A6-6781",18
"237","TCGA-A6-5659-01A-01R-1653-07","TCGA-A6-5659",22
"321","TCGA-A6-5659-01A-01R-A278-07","TCGA-A6-5659",22
"459","TCGA-A6-5659-01B-04R-A277-07","TCGA-A6-5659",22
"1","TCGA-D5-6530-01A-11R-1723-07","TCGA-D5-6530",NA
"2","TCGA-G4-6320-01A-11R-1723-07","TCGA-G4-6320",NA
"3","TCGA-AD-6888-01A-11R-1928-07","TCGA-AD-6888",NA
"4","TCGA-CK-6747-01A-11R-1839-07","TCGA-CK-6747",NA
"5","TCGA-AA-3975-01A-01R-1022-07","TCGA-AA-3975",NA
"7","TCGA-AA-3696-01A-01R-0905-07","TCGA-AA-3696",NA
"8","TCGA-CM-5864-01A-01R-1653-07","TCGA-CM-5864",NA
"9","TCGA-G4-6295-01A-11R-1723-07","TCGA-G4-6295",NA
"10","TCGA-CK-4948-01B-11R-1653-07","TCGA-CK-4948",NA
"11","TCGA-AA-3872-01A-01R-1022-07","TCGA-AA-3872",NA
"12","TCGA-AD-A5EK-01A-11R-A28H-07","TCGA-AD-A5EK",NA
"13","TCGA-AA-3675-01A-02R-0905-07","TCGA-AA-3675",NA
"14","TCGA-NH-A8F8-01A-72R-A41B-07","TCGA-NH-A8F8",NA
"15","TCGA-AA-A02J-01A-01R-A00A-07","TCGA-AA-A02J",NA
"16","TCGA-A6-5667-01A-21R-1723-07","TCGA-A6-5667",NA
"17","TCGA-AD-6899-01A-11R-1928-07","TCGA-AD-6899",NA
"18","TCGA-A6-6654-01A-21R-1839-07","TCGA-A6-6654",NA
"19","TCGA-AA-A01V-01A-23R-A083-07","TCGA-AA-A01V",NA
"20","TCGA-AA-A01R-01A-21R-A083-07","TCGA-AA-A01R",NA
"23","TCGA-A6-3807-01A-01R-1022-07","TCGA-A6-3807",NA
"24","TCGA-AZ-4323-01A-21R-1839-07","TCGA-AZ-4323",NA
"26","TCGA-AZ-4616-01A-21R-1839-07","TCGA-AZ-4616",NA
"27","TCGA-AZ-6608-01A-11R-1839-07","TCGA-AZ-6608",NA
"28","TCGA-AY-6196-01A-11R-1723-07","TCGA-AY-6196",NA
"29","TCGA-AA-3530-01A-01R-1022-07","TCGA-AA-3530",NA
