"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-3H-AB3M-01A-11R-A40A-07","TCGA-3H-AB3M",NA
"2","TCGA-LK-A4NW-01A-11R-A34F-07","TCGA-LK-A4NW",NA
"3","TCGA-MQ-A4LV-01A-11R-A34F-07","TCGA-MQ-A4LV",NA
"4","TCGA-YS-A95B-01A-11R-A40A-07","TCGA-YS-A95B",NA
"5","TCGA-MQ-A6BN-01A-12R-A34F-07","TCGA-MQ-A6BN",NA
"6","TCGA-UD-AABZ-01A-12R-A40A-07","TCGA-UD-AABZ",NA
"7","TCGA-3H-AB3L-01A-11R-A40A-07","TCGA-3H-AB3L",NA
"8","TCGA-3H-AB3U-01A-21R-A40A-07","TCGA-3H-AB3U",NA
"9","TCGA-UD-AAC7-01A-11R-A40A-07","TCGA-UD-AAC7",NA
"10","TCGA-UT-A97Y-01A-21R-A40A-07","TCGA-UT-A97Y",NA
"11","TCGA-3U-A98E-01A-11R-A40A-07","TCGA-3U-A98E",NA
"12","TCGA-UD-AAC6-01A-11R-A40A-07","TCGA-UD-AAC6",NA
"13","TCGA-TS-A8AF-01A-11R-A40A-07","TCGA-TS-A8AF",NA
"14","TCGA-TS-A8AY-01A-21R-A40A-07","TCGA-TS-A8AY",NA
"15","TCGA-ZN-A9VP-01A-11R-A40A-07","TCGA-ZN-A9VP",NA
"16","TCGA-ZN-A9VU-01A-11R-A40A-07","TCGA-ZN-A9VU",NA
"17","TCGA-3U-A98I-01A-11R-A40A-07","TCGA-3U-A98I",NA
"18","TCGA-UT-A88G-01B-11R-A40A-07","TCGA-UT-A88G",NA
"19","TCGA-SH-A7BD-01A-11R-A34F-07","TCGA-SH-A7BD",NA
"20","TCGA-MQ-A4KX-01A-11R-A34F-07","TCGA-MQ-A4KX",NA
"21","TCGA-TS-A7P3-01A-12R-A34F-07","TCGA-TS-A7P3",NA
"22","TCGA-3H-AB3O-01A-11R-A40A-07","TCGA-3H-AB3O",NA
"23","TCGA-MQ-A6BS-01A-12R-A34F-07","TCGA-MQ-A6BS",NA
"24","TCGA-3H-AB3X-01A-11R-A40A-07","TCGA-3H-AB3X",NA
"25","TCGA-TS-A7OU-01B-11R-A40A-07","TCGA-TS-A7OU",NA
"26","TCGA-3U-A98D-01A-12R-A40A-07","TCGA-3U-A98D",NA
"27","TCGA-TS-A7OY-01A-11R-A34F-07","TCGA-TS-A7OY",NA
"28","TCGA-UT-A88E-01B-11R-A40A-07","TCGA-UT-A88E",NA
"29","TCGA-TS-A7P0-01A-11R-A34F-07","TCGA-TS-A7P0",NA
"30","TCGA-MQ-A4LJ-01A-11R-A34F-07","TCGA-MQ-A4LJ",NA
"31","TCGA-SC-A6LR-01A-11R-A34F-07","TCGA-SC-A6LR",NA
"32","TCGA-ZN-A9VO-01A-11R-A40A-07","TCGA-ZN-A9VO",NA
"33","TCGA-ZN-A9VQ-01A-11R-A40A-07","TCGA-ZN-A9VQ",NA
"34","TCGA-TS-A7P8-01A-11R-A34F-07","TCGA-TS-A7P8",NA
"35","TCGA-3U-A98J-01A-11R-A40A-07","TCGA-3U-A98J",NA
"36","TCGA-SH-A7BH-01A-11R-A34F-07","TCGA-SH-A7BH",NA
"37","TCGA-NQ-A638-01A-11R-A34F-07","TCGA-NQ-A638",NA
"38","TCGA-LK-A4O4-01A-11R-A34F-07","TCGA-LK-A4O4",NA
"39","TCGA-3H-AB3S-01A-21R-A40A-07","TCGA-3H-AB3S",NA
"40","TCGA-YS-AA4M-01A-11R-A40A-07","TCGA-YS-AA4M",NA
"41","TCGA-MQ-A6BQ-01A-11R-A34F-07","TCGA-MQ-A6BQ",NA
"42","TCGA-UT-A88D-01B-11R-A40A-07","TCGA-UT-A88D",NA
"43","TCGA-MQ-A6BL-01A-11R-A34F-07","TCGA-MQ-A6BL",NA
"44","TCGA-SH-A9CT-01A-11R-A40A-07","TCGA-SH-A9CT",NA
"45","TCGA-LK-A4O0-01A-11R-A34F-07","TCGA-LK-A4O0",NA
"46","TCGA-LK-A4O7-01A-11R-A34F-07","TCGA-LK-A4O7",NA
"47","TCGA-MQ-A4LI-01A-11R-A34F-07","TCGA-MQ-A4LI",NA
"48","TCGA-XT-AASU-01A-11R-A40A-07","TCGA-XT-AASU",NA
"49","TCGA-LK-A4O2-01A-11R-A34F-07","TCGA-LK-A4O2",NA
"50","TCGA-UT-A88C-01B-11R-A40A-07","TCGA-UT-A88C",NA
"51","TCGA-TS-A7PB-01A-11R-A34F-07","TCGA-TS-A7PB",NA
"52","TCGA-ZN-A9VV-01A-11R-A40A-07","TCGA-ZN-A9VV",NA
"53","TCGA-3H-AB3T-01A-11R-A40A-07","TCGA-3H-AB3T",NA
"54","TCGA-TS-A7OZ-01A-21R-A40A-07","TCGA-TS-A7OZ",NA
"55","TCGA-TS-A8AV-01A-12R-A40A-07","TCGA-TS-A8AV",NA
"56","TCGA-LK-A4NZ-01A-12R-A34F-07","TCGA-LK-A4NZ",NA
"57","TCGA-SC-A6LQ-01A-11R-A34F-07","TCGA-SC-A6LQ",NA
"58","TCGA-ZN-A9VW-01A-11R-A40A-07","TCGA-ZN-A9VW",NA
"59","TCGA-TS-A7P7-01A-11R-A40A-07","TCGA-TS-A7P7",NA
"60","TCGA-NQ-A57I-01A-11R-A34F-07","TCGA-NQ-A57I",NA
"61","TCGA-TS-A7P6-01A-21R-A34F-07","TCGA-TS-A7P6",NA
"62","TCGA-SH-A9CU-01A-11R-A40A-07","TCGA-SH-A9CU",NA
"63","TCGA-3U-A98H-01A-11R-A40A-07","TCGA-3U-A98H",NA
"64","TCGA-TS-A7P1-01A-41R-A40A-07","TCGA-TS-A7P1",NA
"65","TCGA-3U-A98G-01A-11R-A40A-07","TCGA-3U-A98G",NA
"66","TCGA-3U-A98F-01A-11R-A40A-07","TCGA-3U-A98F",NA
"67","TCGA-3H-AB3K-01A-11R-A40A-07","TCGA-3H-AB3K",NA
"68","TCGA-LK-A4O6-01A-11R-A34F-07","TCGA-LK-A4O6",NA
"69","TCGA-ZN-A9VS-01A-11R-A40A-07","TCGA-ZN-A9VS",NA
"70","TCGA-UD-AAC5-01A-11R-A40A-07","TCGA-UD-AAC5",NA
"71","TCGA-MQ-A4LP-01A-11R-A34F-07","TCGA-MQ-A4LP",NA
"72","TCGA-TS-A8AS-01A-21R-A40A-07","TCGA-TS-A8AS",NA
"73","TCGA-SC-A6LN-01A-11R-A34F-07","TCGA-SC-A6LN",NA
"74","TCGA-YS-A95C-01A-11R-A40A-07","TCGA-YS-A95C",NA
"75","TCGA-UD-AABY-01A-12R-A40A-07","TCGA-UD-AABY",NA
"76","TCGA-SH-A7BC-01A-11R-A34F-07","TCGA-SH-A7BC",NA
"77","TCGA-SC-A6LP-01A-11R-A34F-07","TCGA-SC-A6LP",NA
"78","TCGA-MQ-A4LC-01A-31R-A34F-07","TCGA-MQ-A4LC",NA
"79","TCGA-UD-AAC1-01A-11R-A40A-07","TCGA-UD-AAC1",NA
"80","TCGA-SC-AA5Z-01A-21R-A40A-07","TCGA-SC-AA5Z",NA
