"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-3B-A9I1-01A-11R-A39D-07","TCGA-3B-A9I1",NA
"2","TCGA-SI-A71P-01A-12R-A33J-07","TCGA-SI-A71P",NA
"3","TCGA-QQ-A5VD-01A-21R-A32Q-07","TCGA-QQ-A5VD",NA
"4","TCGA-DX-AB32-01A-11R-A41I-07","TCGA-DX-AB32",NA
"5","TCGA-DX-AB2H-01A-11R-A39D-07","TCGA-DX-AB2H",NA
"6","TCGA-DX-A8BL-01A-11R-A41I-07","TCGA-DX-A8BL",NA
"7","TCGA-Z4-AAPF-01A-11R-A39D-07","TCGA-Z4-AAPF",NA
"8","TCGA-MB-A5YA-01A-11R-A29R-07","TCGA-MB-A5YA",NA
"9","TCGA-DX-A7EQ-01A-11R-A466-07","TCGA-DX-A7EQ",NA
"10","TCGA-DX-A23R-01A-11R-A26T-07","TCGA-DX-A23R",NA
"11","TCGA-DX-A8BT-01A-11R-A37L-07","TCGA-DX-A8BT",NA
"12","TCGA-UE-A6QU-01A-12R-A32Q-07","TCGA-UE-A6QU",NA
"13","TCGA-DX-A8BJ-01A-11R-A41I-07","TCGA-DX-A8BJ",NA
"14","TCGA-N1-A6IA-01A-12R-A32Q-07","TCGA-N1-A6IA",NA
"15","TCGA-WP-A9GB-01A-11R-A37L-07","TCGA-WP-A9GB",NA
"16","TCGA-Z4-AAPG-01A-11R-A39D-07","TCGA-Z4-AAPG",NA
"17","TCGA-DX-A1L3-01A-11R-A24X-07","TCGA-DX-A1L3",NA
"18","TCGA-3B-A9HU-01A-11R-A39D-07","TCGA-3B-A9HU",NA
"19","TCGA-3B-A9HX-01A-11R-A39D-07","TCGA-3B-A9HX",NA
"20","TCGA-IF-A4AJ-01A-11R-A24X-07","TCGA-IF-A4AJ",NA
"21","TCGA-DX-A7ER-01A-11R-A36F-07","TCGA-DX-A7ER",NA
"22","TCGA-KF-A41W-01A-11R-A24X-07","TCGA-KF-A41W",NA
"23","TCGA-X6-A8C4-01A-11R-A36F-07","TCGA-X6-A8C4",NA
"24","TCGA-DX-AB2V-01A-11R-A41I-07","TCGA-DX-AB2V",NA
"25","TCGA-IS-A3KA-01A-11R-A21T-07","TCGA-IS-A3KA",NA
"26","TCGA-IE-A4EK-01A-11R-A24X-07","TCGA-IE-A4EK",NA
"27","TCGA-MJ-A850-01A-11R-A355-07","TCGA-MJ-A850",NA
"28","TCGA-DX-AB30-01A-11R-A39D-07","TCGA-DX-AB30",NA
"29","TCGA-K1-A3PO-01A-11R-A21T-07","TCGA-K1-A3PO",NA
"30","TCGA-X6-A8C2-01A-11R-A36F-07","TCGA-X6-A8C2",NA
"31","TCGA-QQ-A8VD-01A-42R-A39D-07","TCGA-QQ-A8VD",NA
"32","TCGA-DX-A2J4-01A-32R-A21T-07","TCGA-DX-A2J4",NA
"33","TCGA-DX-A7EO-01A-11R-A36F-07","TCGA-DX-A7EO",NA
"34","TCGA-DX-A48J-01A-21R-A30C-07","TCGA-DX-A48J",NA
"35","TCGA-X6-A8C5-01A-11R-A36F-07","TCGA-X6-A8C5",NA
"36","TCGA-HB-A5W3-01A-11R-A29R-07","TCGA-HB-A5W3",NA
"37","TCGA-3B-A9HJ-01A-11R-A38C-07","TCGA-3B-A9HJ",NA
"38","TCGA-DX-A7EI-01A-11R-A33J-07","TCGA-DX-A7EI",NA
"39","TCGA-DX-A6YV-01A-12R-A355-07","TCGA-DX-A6YV",NA
"40","TCGA-QQ-A8VG-01A-11R-A37L-07","TCGA-QQ-A8VG",NA
"41","TCGA-SG-A849-01A-11R-A355-07","TCGA-SG-A849",NA
"42","TCGA-DX-A6BF-01A-11R-A30C-07","TCGA-DX-A6BF",NA
"43","TCGA-DX-A23Z-01A-11R-A27Q-07","TCGA-DX-A23Z",NA
"44","TCGA-DX-A8BK-01A-11R-A37L-07","TCGA-DX-A8BK",NA
"45","TCGA-DX-A8BG-01A-12R-A41I-07","TCGA-DX-A8BG",NA
"46","TCGA-3B-A9HP-01A-11R-A38C-07","TCGA-3B-A9HP",NA
"47","TCGA-DX-A3LY-01B-11R-A27Q-07","TCGA-DX-A3LY",NA
"48","TCGA-DX-A6YT-01A-21R-A355-07","TCGA-DX-A6YT",NA
"49","TCGA-DX-A3LS-01A-11R-A21T-07","TCGA-DX-A3LS",NA
"50","TCGA-DX-A6YU-01A-12R-A33J-07","TCGA-DX-A6YU",NA
"51","TCGA-HB-A43Z-01A-11R-A24X-07","TCGA-HB-A43Z",NA
"52","TCGA-FX-A3NK-01A-11R-A21T-07","TCGA-FX-A3NK",NA
"53","TCGA-SG-A6Z4-01A-22R-A33J-07","TCGA-SG-A6Z4",NA
"54","TCGA-DX-A1KY-01A-11R-A24X-07","TCGA-DX-A1KY",NA
"55","TCGA-DX-AB2F-01A-11R-A38C-07","TCGA-DX-AB2F",NA
"56","TCGA-JV-A5VE-01A-11R-A29R-07","TCGA-JV-A5VE",NA
"57","TCGA-DX-AB2J-01A-11R-A38C-07","TCGA-DX-AB2J",NA
"58","TCGA-DX-A3U8-01A-11R-A29R-07","TCGA-DX-A3U8",NA
"59","TCGA-DX-A8BN-01A-11R-A37L-07","TCGA-DX-A8BN",NA
"60","TCGA-K1-A42X-01A-11R-A24X-07","TCGA-K1-A42X",NA
"61","TCGA-IF-A3RQ-01A-11R-A22K-07","TCGA-IF-A3RQ",NA
"62","TCGA-IS-A3K7-01A-11R-A21T-07","TCGA-IS-A3K7",NA
"63","TCGA-DX-A6B9-01A-12R-A32Q-07","TCGA-DX-A6B9",NA
"64","TCGA-DX-A3U5-01A-11R-A22K-07","TCGA-DX-A3U5",NA
"65","TCGA-K1-A6RT-01A-32R-A33J-07","TCGA-K1-A6RT",NA
"66","TCGA-X6-A8C3-01A-11R-A36F-07","TCGA-X6-A8C3",NA
"67","TCGA-IE-A3OV-01A-11R-A22K-07","TCGA-IE-A3OV",NA
"68","TCGA-DX-AB3B-01A-11R-A41I-07","TCGA-DX-AB3B",NA
"69","TCGA-MJ-A68J-01A-11R-A30C-07","TCGA-MJ-A68J",NA
"70","TCGA-DX-A6B7-01A-11R-A30C-07","TCGA-DX-A6B7",NA
"71","TCGA-3B-A9I3-01A-11R-A39D-07","TCGA-3B-A9I3",NA
"72","TCGA-DX-A1L2-01A-22R-A24X-07","TCGA-DX-A1L2",NA
"73","TCGA-DX-A7EF-01A-11R-A33J-07","TCGA-DX-A7EF",NA
"74","TCGA-DX-A6B8-01A-11R-A30C-07","TCGA-DX-A6B8",NA
"75","TCGA-DX-A7EL-01A-12R-A36F-07","TCGA-DX-A7EL",NA
"76","TCGA-3B-A9HT-01A-11R-A39D-07","TCGA-3B-A9HT",NA
"77","TCGA-3R-A8YX-01A-11R-A37L-07","TCGA-3R-A8YX",NA
"78","TCGA-DX-A240-01A-32R-A27Q-07","TCGA-DX-A240",NA
"79","TCGA-DX-A23Y-01A-11R-A27Q-07","TCGA-DX-A23Y",NA
"80","TCGA-DX-AB3C-01A-11R-A41I-07","TCGA-DX-AB3C",NA
"81","TCGA-DX-A3LU-01A-11R-A21T-07","TCGA-DX-A3LU",NA
"82","TCGA-IW-A3M4-01A-11R-A21T-07","TCGA-IW-A3M4",NA
