"","TCGA_barcode","TCGA_submitterID","Match_id"
"1","TCGA-L5-A4OF-11A-12R-A260-31","TCGA-L5-A4OF",NA
"2","TCGA-IC-A6RF-11A-21R-A336-31","TCGA-IC-A6RF",NA
"3","TCGA-L5-A4OO-11A-12R-A260-31","TCGA-L5-A4OO",NA
"4","TCGA-L5-A43C-11A-11R-A24K-31","TCGA-L5-A43C",NA
"5","TCGA-V5-A7RE-11A-11R-A354-31","TCGA-V5-A7RE",NA
"6","TCGA-L5-A4OG-11A-12R-A260-31","TCGA-L5-A4OG",NA
"7","TCGA-IC-A6RE-11A-12R-A336-31","TCGA-IC-A6RE",NA
"8","TCGA-L5-A4OR-11A-11R-A260-31","TCGA-L5-A4OR",NA
"9","TCGA-L5-A4OQ-11A-12R-A260-31","TCGA-L5-A4OQ",NA
"10","TCGA-L5-A4OJ-11A-12R-A260-31","TCGA-L5-A4OJ",NA
"11","TCGA-V5-AASX-11A-11R-A38D-31","TCGA-V5-AASX",NA
